Rank,Name,Symbol,Market Cap (JPY),Price (JPY),24h Volume (JPY),Change (24h %)
1,Bitcoin,btc,309458704358693,15632397.0,8616991958076,1.96442
2,Ethereum,eth,72560502909371,602426.0,5152752089757,1.07772
3,XRP,xrp,21620128170069,378.07,1703847517743,6.32312
4,Tether,usdt,21550688482084,153.78,14239674781922,0.36998
5,Solana,sol,16628726169742,34733.0,758955609604,0.46698
6,BNB,bnb,16248645456187,111378.0,277042318672,2.38761
7,Dogecoin,doge,9214715757810,62.64,618038001218,0.90078
8,USDC,usdc,6453036556876,153.75,1439714725341,0.38087
9,Cardano,ada,6097852599788,170.22,202399408416,1.61883
10,Lido Staked Ether,steth,5885920678232,599587.0,25020296296,0.81861
11,TRON,trx,3931614373891,45.59,219648539870,2.99747
12,Avalanche,avax,3357255249577,8205.79,127508079566,3.12394
13,Chainlink,link,2880894997966,4595.66,430030123003,5.27311
14,Shiba Inu,shib,2569825251881,0.00436151,148006839011,1.94937
15,Wrapped stETH,wsteth,2506281977975,714694.0,16704828806,1.08885
16,Toncoin,ton,2488010082493,975.81,49058921080,-0.34941
17,Wrapped Bitcoin,wbtc,2118588687669,15606767.0,55604663640,2.1893
18,Sui,sui,2105284298111,718.73,303096837465,0.18629
19,Polkadot,dot,2098965190367,1378.3,99056690897,0.48346
20,Stellar,xlm,2019018418531,66.9,132282020131,4.17511
21,Hedera,hbar,1786538940779,46.75,270714879045,0.66152
22,Bitcoin Cash,bch,1651938467479,83424.0,61532312188,2.73387
23,WETH,weth,1643022711726,602436.0,132786412922,1.07969
24,Uniswap,uni,1586600415656,2647.1,98818780141,-0.27562
25,Pepe,pepe,1549037168024,0.0036842,421522131270,2.04531
26,Litecoin,ltc,1421370280951,18875.0,183495351015,2.34853
27,LEO Token,leo,1347455014470,1458.37,142141904,3.34763
28,NEAR Protocol,near,1280735761072,1052.47,85094846785,0.01252
29,Aptos,apt,1203265136284,2168.65,108553425234,2.2521
30,Wrapped eETH,weeth,1147407340533,635789.0,4613879779,1.08974
31,Hyperliquid,hype,1090997011101,3267.16,40888956182,20.23217
32,Internet Computer,icp,972816284197,2043.27,38896914865,-0.6467
33,Ethena USDe,usde,894484024953,153.95,27800435714,0.34264
34,Aave,aave,888835804244,59277.0,240349506712,5.69887
35,USDS,usds,799695010028,153.8,2822789542,0.41739
36,POL (ex-MATIC),pol,794897570362,95.06,34906835051,0.29374
37,Ethereum Classic,etc,776564200351,5179.18,62227586842,-0.44957
38,Cronos,cro,766764610065,28.26,6892902900,-0.92878
39,Render,render,738870645296,1427.01,34452213083,-0.12349
40,VeChain,vet,733902585983,9.06,24098179648,0.65836
41,Artificial Superintelligence Alliance,fet,717565242738,275.16,60522593308,1.01979
